replicate,method,n,k,risk,nominal_cost,anytime_U
9,Anytime,362,2,0.005328463527713673,1.4823797870741795,0.04470779190771206
9,Per_time,466,2,0.004383210644929989,1.5098900053871955,0.03895234603569855
9,GCC_T1,190,2,0.0073781799780632045,1.4378094483437411,0.08884340963149352
9,GCC_T4,162,2,0.0073781799780632045,1.4378094483437411,0.10186276543651669
9,Fixed_N,93,2,0.0073781799780632045,1.4378094483437411,0.174982676092472
9,Posthoc,362,2,0.005328463527713673,1.4823797870741795,0.04470779190771206
10,Anytime,362,2,0.0013664744191428232,1.4879083475671846,0.04470779190771206
10,Per_time,466,2,0.0013664744191428232,1.4879083475671846,0.03895234603569855
10,GCC_T1,190,2,0.008175347972569353,1.3419282263203847,0.08884340963149352
10,GCC_T4,162,2,0.008175347972569353,1.3419282263203847,0.10186276543651669
10,Fixed_N,93,2,0.012218306079896773,1.3016690356681813,0.174982676092472
10,Posthoc,362,2,0.0013664744191428232,1.4879083475671846,0.04470779190771206
11,Anytime,362,2,0.005775534217241706,1.3827375336151444,0.04470779190771206
11,Per_time,466,2,0.005775534217241706,1.3827375336151444,0.03895234603569855
11,GCC_T1,190,2,0.018333399444395933,1.4830469534420536,0.08884340963149352
11,GCC_T4,162,2,0.018333399444395933,1.4830469534420536,0.10186276543651669
11,Fixed_N,93,2,0.0208286867706859,1.5294723987032546,0.174982676092472
11,Posthoc,362,2,0.005775534217241706,1.3827375336151444,0.04470779190771206
12,Anytime,362,2,0.005659555215203716,1.6929577430977356,0.04470779190771206
12,Per_time,464,1,0.000853365776887749,1.452380430754842,0.02979375471749997
12,GCC_T1,190,2,0.01053443715689196,1.5828632280310162,0.08884340963149352
12,GCC_T4,162,2,0.015793519554986653,1.4634530315103558,0.10186276543651669
12,Fixed_N,93,2,0.015793519554986653,1.4634530315103558,0.174982676092472
12,Posthoc,464,1,0.000853365776887749,1.452380430754842,0.02979375471749997
13,Anytime,362,2,0.004428770601542464,1.6899484274891226,0.04470779190771206
13,Per_time,466,2,0.0013497970876089277,1.5369206971530673,0.03895234603569855
13,GCC_T1,190,2,0.004428770601542464,1.6899484274891226,0.08884340963149352
13,GCC_T4,162,2,0.004428770601542464,1.6899484274891226,0.10186276543651669
13,Fixed_N,93,2,0.017346509242608908,1.7243247142270532,0.174982676092472
13,Posthoc,382,2,0.0013497970876089277,1.5369206971530673,0.04470779190771206
14,Anytime,362,2,0.005202877490714702,1.832116956857726,0.04470779190771206
14,Per_time,466,2,0.005202877490714702,1.832116956857726,0.03895234603569855
14,GCC_T1,190,2,0.005202877490714702,1.832116956857726,0.08884340963149352
14,GCC_T4,162,2,0.005202877490714702,1.832116956857726,0.10186276543651669
14,Fixed_N,93,2,0.005202877490714702,1.832116956857726,0.174982676092472
14,Posthoc,362,2,0.005202877490714702,1.832116956857726,0.04470779190771206
15,Anytime,362,2,0.0037742314052605125,1.7245994323228544,0.04470779190771206
15,Per_time,466,2,0.0037742314052605125,1.7245994323228544,0.03895234603569855
15,GCC_T1,190,2,0.005424232738986171,1.7119405939681613,0.08884340963149352
15,GCC_T4,162,2,0.005424232738986171,1.7119405939681613,0.10186276543651669
15,Fixed_N,93,2,0.029112521958392586,1.370074785124059,0.174982676092472
15,Posthoc,628,2,0.0028862233094792836,1.6845234157541742,0.02959763815910193
16,Anytime,362,2,0.006049296657355402,1.570376323147843,0.04470779190771206
16,Per_time,466,2,0.006049296657355402,1.570376323147843,0.03895234603569855
16,GCC_T1,190,2,0.008654681023141073,1.6394313117519173,0.08884340963149352
16,GCC_T4,162,2,0.008654681023141073,1.6394313117519173,0.10186276543651669
16,Fixed_N,93,2,0.008654681023141073,1.6394313117519173,0.174982676092472
16,Posthoc,362,2,0.006049296657355402,1.570376323147843,0.04470779190771206
17,Anytime,362,2,0.01423928473878784,1.674614936786169,0.04470779190771206
17,Per_time,466,2,0.01423928473878784,1.674614936786169,0.03895234603569855
17,GCC_T1,190,2,0.018781775837177963,1.752486499182187,0.08884340963149352
17,GCC_T4,162,2,0.018781775837177963,1.752486499182187,0.10186276543651669
17,Fixed_N,93,1,0.023592683227009862,1.853595375221884,0.15392988417795642
17,Posthoc,602,1,0.0015063343512498964,1.4207062355693811,0.025300286930544896
